Country Name,Country Code,2024
Aruba,ABW,4265650673.00236
Africa Eastern and Southern,AFE,1242693542929.85
Afghanistan,AFG,
Africa Western and Central,AFW,736384961061.523
Angola,AGO,100998916781.079
Albania,ALB,27046429296.6673
Andorra,AND,4039842405.48117
Arab World,ARB,3735881442514.34
United Arab Emirates,ARE,552324846834.581
Argentina,ARG,638365455340.04
Armenia,ARM,25955275380.0321
American Samoa,ASM,
Antigua and Barbuda,ATG,2207622874.07407
Australia,AUS,1757022451652.83
Austria,AUT,534790720466.822
Azerbaijan,AZE,74315882352.9412
Burundi,BDI,3082433067.32634
Belgium,BEL,671370081636.406
Benin,BEN,21482643706.4249
Burkina Faso,BFA,23124729853.0218
Bangladesh,BGD,450119432068.852
Bulgaria,BGR,113343355779.985
Bahrain,BHR,47109734308.5106
Bahamas,BHS,15832800000.0
Bosnia and Herzegovina,BIH,29613572022.8993
Belarus,BLR,75961865471.9129
Belize,BLZ,3203631800.0
Bermuda,BMU,9233600000.0
Bolivia,BOL,54881327452.9667
Brazil,BRA,2185821648943.86
Barbados,BRB,7498050000.0
Brunei Darussalam,BRN,15340808592.48
Bhutan,BTN,
Botswana,BWA,19402063512.9066
Central African Republic,CAF,2751494281.06887
Canada,CAN,2243636826633.76
Central Europe and the Baltics,CEB,2462005273603.48
Switzerland,CHE,936564198048.516
Jersey,CHI,
Chile,CHL,330267137371.592
China,CHN,18743803170827.2
Ivory Coast,CIV,87113179149.284
Cameroon,CMR,53296694320.2057
Democratic Republic of the Congo,COD,70962185790.7094
Republic of the Congo,COG,15719986076.6464
Colombia,COL,418818154879.271
Comoros,COM,1440991455.45188
Cabo Verde,CPV,2725414150.72735
Costa Rica,CRI,95350423176.5962
Caribbean small states,CSS,90344593407.0488
Cuba,CUB,
Curacao,CUW,3561178196.20713
Cayman Islands,CYM,
Cyprus,CYP,37634533331.8902
Czech Republic,CZE,347034062928.479
Germany,DEU,4685592577804.69
Djibouti,DJI,4152145939.98458
Dominica,DMA,688881481.481481
Denmark,DNK,424524722037.047
Dominican Republic,DOM,124282245638.568
Algeria,DZA,269322281664.773
East Asia & Pacific (excluding high income),EAP,22260810771875.1
Early-demographic dividend,EAR,15808304487948.1
East Asia & Pacific,EAS,32017179839273.0
Europe & Central Asia (excluding high income),ECA,2451180144505.47
Europe & Central Asia,ECS,29291828957768.8
Ecuador,ECU,124676074700.0
Egypt,EGY,389059911003.566
Euro area,EMU,16485444160371.0
Eritrea,ERI,
Spain,ESP,1725671652742.19
Estonia,EST,43130419829.35
Ethiopia,ETH,149740297952.986
European Union,EUU,19497115588443.6
Fragile and conflict affected situations,FCS,1652895518697.74
Finland,FIN,298696961297.656
Fiji,FJI,5968125909.27126
France,FRA,3160442622465.08
Faroe Islands,FRO,4052937169.76536
Micronesia,FSM,471425099.488675
Gabon,GAB,20895684425.6752
United Kingdom of Great Britain and Northern Ireland,GBR,3686033044482.13
Georgia,GEO,34189423544.9955
Ghana,GHA,82308110386.4641
Gibraltar,GIB,
Guinea,GIN,25008678293.4084
Gambia,GMB,2404888749.21907
Guinea-Bissau,GNB,2218393804.54798
Equatorial Guinea,GNQ,12765777677.0622
Greece,GRC,256238371778.118
Grenada,GRD,1371918518.51852
Greenland,GRL,
Guatemala,GTM,113199581158.203
Guam,GUM,
Guyana,GUY,24662709832.1343
High income,HIC,71321142708251.2
Hong Kong,HKG,406863396487.342
Honduras,HND,37093565854.0437
Heavily indebted poor countries (HIPC),HPC,1145111349262.57
Croatia,HRV,92983810328.9088
Haiti,HTI,25224154990.7946
Hungary,HUN,222722738925.641
IBRD only,IBD,40930410371533.4
IDA & IBRD total,IBT,43823204664493.9
IDA total,IDA,2892794292960.5
IDA blend,IDB,1117411942661.72
Indonesia,IDN,1396300098190.97
IDA only,IDX,1775382350298.79
Isle of Man,IMN,
India,IND,3909891533858.08
Not classified,INX,
Ireland,IRL,609157459747.205
Iran,IRN,475252089215.416
Iraq,IRQ,279641257615.385
Iceland,ISL,33255181468.9382
Israel,ISR,540379921261.681
Italy,ITA,2380825077243.59
Jamaica,JAM,22014397089.7689
Jordan,JOR,53352289577.4648
Japan,JPN,4027597523550.58
Kazakhstan,KAZ,291480274648.826
Kenya,KEN,120339557905.932
Kyrgyzstan,KGZ,17478259659.2625
Cambodia,KHM,46352647037.2406
Kiribati,KIR,307862564.489711
Saint Kitts and Nevis,KNA,1122388888.88889
South Korea,KOR,1875388209406.8
Kuwait,KWT,160227273053.334
Latin America & Caribbean (excluding high income),LAC,6168787362595.33
Laos,LAO,16502933121.3379
Lebanon,LBN,
